sp|Q54150|IPAJ_SHIFL,WP_156675410.1,99.228,259,2,0,1,259,1,259,0.0,531,99.23
sp|Q54150|IPAJ_SHIFL,CSP97898.1,100.000,250,0,0,10,259,69,318,0.0,517,100.00
sp|Q54150|IPAJ_SHIFL,EFY1576850.1,99.571,233,1,0,27,259,1,233,3.04e-171,481,100.00
sp|Q54150|IPAJ_SHIFL,WP_221727258.1,99.545,220,1,0,1,220,1,220,1.35e-162,459,100.00
sp|Q54150|IPAJ_SHIFL,WP_077903839.1,100.000,204,0,0,56,259,1,204,2.75e-148,422,100.00
sp|Q54150|IPAJ_SHIFL,HCR7480597.1,100.000,188,0,0,18,205,1,188,1.12e-134,387,100.00
sp|Q54150|IPAJ_SHIFL,EGS9728253.1,100.000,174,0,0,86,259,1,174,5.94e-124,360,100.00
sp|Q54150|IPAJ_SHIFL,WP_156663201.1,100.000,170,0,0,1,170,1,170,3.22e-122,355,100.00
sp|Q54150|IPAJ_SHIFL,CSP96467.1,100.000,161,0,0,59,219,1,161,1.82e-114,335,100.00
sp|Q54150|IPAJ_SHIFL,MGC9826532.1,100.000,153,0,0,25,177,1,153,4.58e-108,318,100.00
sp|Q54150|IPAJ_SHIFL,EOU8061820.1,100.000,154,0,0,106,259,1,154,4.74e-108,318,100.00
sp|Q54150|IPAJ_SHIFL,EGE0346063.1,100.000,149,0,0,87,235,1,149,7.24e-105,310,100.00
sp|Q54150|IPAJ_SHIFL,HCR5825227.1,100.000,147,0,0,42,188,1,147,9.87e-103,305,100.00
sp|Q54150|IPAJ_SHIFL,ENQ1125033.1,100.000,135,0,0,18,152,1,135,2.51e-93,281,100.00
sp|Q54150|IPAJ_SHIFL,EGD9216468.1,100.000,130,0,0,1,130,1,130,7.02e-91,274,100.00
sp|Q54150|IPAJ_SHIFL,EFG8885929.1,100.000,131,0,0,129,259,1,131,1.83e-89,271,100.00
sp|Q54150|IPAJ_SHIFL,EOT3001040.1,100.000,130,0,0,87,216,1,130,2.97e-89,270,100.00
sp|Q54150|IPAJ_SHIFL,HFR7167737.1,100.000,120,0,0,125,244,1,120,2.14e-81,250,100.00
sp|Q54150|IPAJ_SHIFL,EFQ0339047.1,100.000,116,0,0,1,116,1,116,2.36e-79,244,100.00
sp|Q54150|IPAJ_SHIFL,EOU2397863.1,100.000,116,0,0,144,259,1,116,1.54e-77,240,100.00
sp|Q54150|IPAJ_SHIFL,MEG0281449.1,52.036,221,106,0,36,256,14,234,7.46e-77,243,69.68
sp|Q54150|IPAJ_SHIFL,HFR2615164.1,100.000,113,0,0,119,231,1,113,2.07e-76,237,100.00
sp|Q54150|IPAJ_SHIFL,HCR7476343.1,100.000,109,0,0,94,202,1,109,2.29e-71,224,100.00
sp|Q54150|IPAJ_SHIFL,WP_150780237.1,53.695,203,94,0,54,256,30,232,2.41e-71,228,70.44
sp|Q54150|IPAJ_SHIFL,EFW6760077.1,100.000,104,0,0,1,104,1,104,8.17e-70,220,100.00
sp|Q54150|IPAJ_SHIFL,WP_235571397.1,51.724,203,98,0,53,255,29,231,4.98e-69,223,68.97
sp|Q54150|IPAJ_SHIFL,EMA5476315.1,100.000,104,0,0,156,259,1,104,1.61e-68,217,100.00
sp|Q54150|IPAJ_SHIFL,WP_144410208.1,52.284,197,89,1,59,255,1,192,2.76e-59,197,64.97
